Deduped.author.names,Author.Keywords,Year
Sung-Hee Kim,visual analytics,2015
Sung-Hee Kim,conversation analysis,2015
Sung-Hee Kim,thread visualization,2015
Sung-Hee Kim,healthcare,2015
Sung-Hee Kim,design study,2015
Sukwon Lee,Online health communities,2015
Sukwon Lee,visual analytics,2015
Sukwon Lee,conversation analysis,2015
Sukwon Lee,thread visualization,2015
Sukwon Lee,healthcare,2015
Sukwon Lee,design study,2015
Jaegul Choo,Online health communities,2015
Jaegul Choo,visual analytics,2015
Jaegul Choo,conversation analysis,2015
Jaegul Choo,thread visualization,2015
Jaegul Choo,healthcare,2015
Jaegul Choo,design study,2015
Jina Huh,Online health communities,2015
Jina Huh,visual analytics,2015
Jina Huh,conversation analysis,2015
Jina Huh,thread visualization,2015
Jina Huh,healthcare,2015
Jina Huh,design study,2015
Ji Soo Yi,Online health communities,2015
Ji Soo Yi,visual analytics,2015
Ji Soo Yi,conversation analysis,2015
Ji Soo Yi,thread visualization,2015
Ji Soo Yi,healthcare,2015
Ji Soo Yi,design study,2015
"Beck, F.",Visual analytics of documents,2015
"Beck, F.",bibliographic data,2015
"Beck, F.",dissemination,2015
"Beck, F.",literature browser,2015
"Koch, S.",Visual analytics of documents,2015
"Koch, S.",bibliographic data,2015
"Koch, S.",dissemination,2015
"Koch, S.",literature browser,2015
"Weiskopf, D.",Visual analytics of documents,2015
"Weiskopf, D.",bibliographic data,2015
"Weiskopf, D.",dissemination,2015
"Weiskopf, D.",literature browser,2015
"L̦we, T.",Visual analytics,2015
"L̦we, T.",time series analysis,2015
"L̦we, T.",order selection,2015
"F̦rster, E.-C.",Visual analytics,2015
"F̦rster, E.-C.",time series analysis,2015
"F̦rster, E.-C.",order selection,2015
"Albuquerque, G.",Visual analytics,2015
"Albuquerque, G.",time series analysis,2015
"Albuquerque, G.",order selection,2015
"Kreiss, J.-P.",Visual analytics,2015
"Kreiss, J.-P.",time series analysis,2015
"Kreiss, J.-P.",order selection,2015
"Magnor, M.",Visual analytics,2015
"Magnor, M.",time series analysis,2015
